task_type,dataset,model,clip_model,num_clients,beta,seed,merged_method,comparison_baseline,merged_accuracy,baseline_accuracy,gap_accuracy,merged_balanced_accuracy,baseline_balanced_accuracy,gap_balanced_accuracy,merged_macro_f1,baseline_macro_f1,gap_macro_f1
small,dermamnist_224,resnet,,3,0,42,avg,best_single_client,0.6688279301745635,0.5770573566084788,0.09177057356608476,0.14285714285714285,0.210007971405796,-0.06715082854865315,0.1145077277773034,0.12272474433019466,-0.008217016552891254
small,dermamnist_224,resnet,,3,0,42,avg,prob_ensemble,0.6688279301745635,0.48877805486284287,0.18004987531172068,0.14285714285714285,0.24750229096633306,-0.1046451481091902,0.1145077277773034,0.15774302143282856,-0.043235293655525156
small,dermamnist_224,resnet,,3,0,42,avg,logit_ensemble,0.6688279301745635,0.45536159600997506,0.2134663341645885,0.14285714285714285,0.21743869070588034,-0.0745815478487375,0.1145077277773034,0.1453562250738137,-0.030848497296510305
small,dermamnist_224,resnet,,3,0,42,avg,oracle_any_correct,0.6688279301745635,0.6648379052369078,0.003990024937655767,0.14285714285714285,0.5293749986112708,-0.38651785575412795,0.1145077277773034,0.3185105981317654,-0.20400287035446202
small,dermamnist_224,resnet,,3,0,42,avg,oracle_min_loss,0.6688279301745635,0.6648379052369078,0.003990024937655767,0.14285714285714285,0.5293749986112708,-0.38651785575412795,0.1145077277773034,0.3185105981317654,-0.20400287035446202
small,dermamnist_224,resnet,,3,0,42,ties,best_single_client,0.5625935162094763,0.5770573566084788,-0.014463840399002503,0.2365642490440553,0.210007971405796,0.026556277638259296,0.19453684744551425,0.12272474433019466,0.07181210311531959
small,dermamnist_224,resnet,,3,0,42,ties,prob_ensemble,0.5625935162094763,0.48877805486284287,0.07381546134663342,0.2365642490440553,0.24750229096633306,-0.010938041922277764,0.19453684744551425,0.15774302143282856,0.03679382601268569
small,dermamnist_224,resnet,,3,0,42,ties,logit_ensemble,0.5625935162094763,0.45536159600997506,0.10723192019950123,0.2365642490440553,0.21743869070588034,0.019125558338174947,0.19453684744551425,0.1453562250738137,0.04918062237170054
small,dermamnist_224,resnet,,3,0,42,ties,oracle_any_correct,0.5625935162094763,0.6648379052369078,-0.10224438902743149,0.2365642490440553,0.5293749986112708,-0.29281074956721553,0.19453684744551425,0.3185105981317654,-0.12397375068625116
small,dermamnist_224,resnet,,3,0,42,ties,oracle_min_loss,0.5625935162094763,0.6648379052369078,-0.10224438902743149,0.2365642490440553,0.5293749986112708,-0.29281074956721553,0.19453684744551425,0.3185105981317654,-0.12397375068625116
